"Facility Name","Facility Address","Latitude","Longitude","NAICS Code","NAICS Description","Pollutant","Source Type","Emissions in Tons","Year"
"MID-SET COGENERATION COMPANY","13705 SHALE RD","35.1950","-119.568","221111","Hydroelectric Power Generation","PM10","Miscellaneous","10.8238","2008"
"MID-SET COGENERATION COMPANY","13705 SHALE RD","35.1950","-119.568","221111","Hydroelectric Power Generation","Nitrogen Oxides","Miscellaneous","30.6772","2008"
"MID-SET COGENERATION COMPANY","13705 SHALE RD","35.1950","-119.568","221111","Hydroelectric Power Generation","Carbon Monoxide","Miscellaneous","30.8702","2008"
"LIVINGSTON FARMERS ASSOCIATION","11019 W EUCALYPTUS AVE","37.4057","-120.687","115114","Postharvest Crop Activities (except Cotton Ginning)","PM2.5 Primary (Filt + Cond","Miscellaneous","8.2209","2008"
"LIVINGSTON FARMERS ASSOCIATION","11019 W EUCALYPTUS AVE","37.4057","-120.687","115114","Postharvest Crop Activities (except Cotton Ginning)","PM10","Miscellaneous","13.7015","2008"
"MALIBU BOATS WEST  INC","ONE MALIBU COURT","37.3005","-120.481","336612","Boat Building","Volatile Organic Compounds","Miscellaneous","35.0485","2008"
"CORONADO STONE PRODUCTS","1029 S SACRAMENTO ST","38.1215","-121.272","327390","Other Concrete Product Manufacturing","PM10","Miscellaneous","5.422155","2008"
"TULE RIVER COOPERATIVE DRYER","16548 ROAD 168","36.0899","-119.197","311211","Flour Milling","Carbon Monoxide","Miscellaneous","8.91","2008"
"V/M CUSTOM BOAT TRAILERS","5200 S PEACH AVE","36.6605","-119.718","333924","Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing","Volatile Organic Compounds","Miscellaneous","6.9325","2008"
"SIERRA FOREST PRODUCTS","9000 ROAD 234","35.9533","-119.049","321113","Sawmills","PM10","Miscellaneous","5.882218","2008"
"GLOBAL FABRICATORS","720 COMMERCE WAY","35.4935","-119.258","332312","Fabricated Structural Metal Manufacturing","PM2.5 Primary (Filt + Cond","Miscellaneous","5.01437839","2008"
"GLOBAL FABRICATORS","720 COMMERCE WAY","35.4935","-119.258","332312","Fabricated Structural Metal Manufacturing","PM10","Miscellaneous","5.45904498","2008"
"THERMAL ENERGY DEV. CORP, LTD","14800 W SCHULTE RD","37.7170","-121.478","221111","Hydroelectric Power Generation","Sulfur Dioxide","Miscellaneous","19.14136493","2008"
"THERMAL ENERGY DEV. CORP, LTD","14800 W SCHULTE RD","37.7170","-121.478","221111","Hydroelectric Power Generation","Carbon Monoxide","Miscellaneous","95.3447126","2008"
"THERMAL ENERGY DEV. CORP, LTD","14800 W SCHULTE RD","37.7170","-121.478","221111","Hydroelectric Power Generation","Nitrogen Oxides","Miscellaneous","113.5847626","2008"
"SHELL PIPELINE COMPANY LP","TRACY PUMP STATION","37.7177","-121.536","486110","Pipeline Transportation of Crude Oil","Carbon Monoxide","Miscellaneous","6.20719","2008"
"TUFF BOY, INC.","5151 E ALMONDWOOD DR","37.7467","-121.245","332439","Other Metal Container Manufacturing","Volatile Organic Compounds","Miscellaneous","7.841598","2008"
"BARINDELLI ALMOND HULLING","3700 CARPENTER RD","37.5856","-121.030","115114","Postharvest Crop Activities (except Cotton Ginning)","PM10","Miscellaneous","5.1","2008"
"J R SIMPLOT COMPANY","12688 S COLORADO AVE","36.5490","-120.107","211112","Natural Gas Liquid Extraction","Nitrogen Oxides","Miscellaneous","14.9497299","2008"
"J R SIMPLOT COMPANY","12688 S COLORADO AVE","36.5490","-120.107","211112","Natural Gas Liquid Extraction","Volatile Organic Compounds","Miscellaneous","28.060002225","2008"
"J R SIMPLOT COMPANY","12688 S COLORADO AVE","36.5490","-120.107","211112","Natural Gas Liquid Extraction","Ammonia","Miscellaneous","166.1876824","2008"
"J R SIMPLOT COMPANY","12688 S COLORADO AVE","36.5490","-120.107","211112","Natural Gas Liquid Extraction","Carbon Monoxide","Miscellaneous","246.04996079","2008"
"GRIFFITH COMPANY","EDMONSTON PUMP STATION RD","55.0853","-119.883","212321","Construction Sand and Gravel Mining","PM2.5 Primary (Filt + Cond","Miscellaneous","11.2595563823","2008"
"GRIFFITH COMPANY","EDMONSTON PUMP STATION RD","55.0853","-119.883","212321","Construction Sand and Gravel Mining","PM10","Miscellaneous","16.707683664","2008"
"GEORGE REED, INC","VARIOUS LOCATIONS","37.6384","-120.999","324121","Asphalt Paving Mixture and Block Manufacturing","Carbon Monoxide","Miscellaneous","8.329694","2008"
"PACIFIC ETHANOL MADERA LLC","31470 AVENUE 12","36.9232","-119.975","325193","Ethyl Alcohol Manufacturing","PM10","Ethanol Biorefineries","6.05418131","2008"
"PACIFIC ETHANOL MADERA LLC","31470 AVENUE 12","36.9232","-119.975","325193","Ethyl Alcohol Manufacturing","Volatile Organic Compounds","Ethanol Biorefineries","20.266057858","2008"
"PIAZZA ALMOND HULLING","4742 SAYLOR RD","37.5719","-120.815","115114","Postharvest Crop Activities (except Cotton Ginning)","PM2.5 Primary (Filt + Cond","Miscellaneous","6.144825","2008"
"PIAZZA ALMOND HULLING","4742 SAYLOR RD","37.5719","-120.815","115114","Postharvest Crop Activities (except Cotton Ginning)","PM10","Miscellaneous","10.241325","2008"
"MM TULARE ENERGY, LLC","32982 ROAD 80","36.3327","-119.287","221111","Hydroelectric Power Generation","Nitrogen Oxides","Miscellaneous","15.90287","2008"
"MM TULARE ENERGY, LLC","32982 ROAD 80","36.3327","-119.287","221111","Hydroelectric Power Generation","Carbon Monoxide","Miscellaneous","36.9262","2008"
"PARREIRA ALMOND PROCESSING","21490 S ORTIGALITA RD","36.9793","-120.873","115114","Postharvest Crop Activities (except Cotton Ginning)","PM2.5 Primary (Filt + Cond","Miscellaneous","6.912069","2008"
"PARREIRA ALMOND PROCESSING","21490 S ORTIGALITA RD","36.9793","-120.873","115114","Postharvest Crop Activities (except Cotton Ginning)","PM10","Miscellaneous","11.520132","2008"
"CORTEZ GROWERS ASSOCIATION","12714 CORTEZ AVE","37.4760","-120.740","115114","Postharvest Crop Activities (except Cotton Ginning)","PM10","Miscellaneous","5.10628","2008"
"BERRY SEED & FEED COMPANY","4431 JESSUP RD","37.5514","-120.915","311119","Other Animal Food Manufacturing","PM2.5 Primary (Filt + Cond","Miscellaneous","6.6515240778","2008"
"BERRY SEED & FEED COMPANY","4431 JESSUP RD","37.5514","-120.915","311119","Other Animal Food Manufacturing","PM10","Miscellaneous","16.747144616","2008"
"GILROY FOODS","705 E WHITMORE AVE","37.5941","-120.987","115114","Postharvest Crop Activities (except Cotton Ginning)","Nitrogen Oxides","Miscellaneous","5.831009","2008"
"GILROY FOODS","705 E WHITMORE AVE","37.5941","-120.987","115114","Postharvest Crop Activities (except Cotton Ginning)","PM10","Miscellaneous","6.3265583","2008"
"CENTRAL VALLEY ALMOND ASSO INC","12655 GARZOLI RD","35.6963","-119.241","115114","Postharvest Crop Activities (except Cotton Ginning)","PM2.5 Primary (Filt + Cond","Miscellaneous","10.643413","2008"
"CENTRAL VALLEY ALMOND ASSO INC","12655 GARZOLI RD","35.6963","-119.241","115114","Postharvest Crop Activities (except Cotton Ginning)","PM10","Miscellaneous","17.73904","2008"
"DIAMOND PET FOOD PRO OF CA LLC","250 E ROTH ROAD","37.8555","-121.277","311111","Dog and Cat Food Manufacturing","Nitrogen Oxides","Miscellaneous","11.01167","2008"
"DIAMOND PET FOOD PRO OF CA LLC","250 E ROTH ROAD","37.8555","-121.277","311111","Dog and Cat Food Manufacturing","PM10","Miscellaneous","13.08021","2008"
"DIAMOND PET FOOD PRO OF CA LLC","250 E ROTH ROAD","37.8555","-121.277","311111","Dog and Cat Food Manufacturing","Carbon Monoxide","Miscellaneous","24.0795","2008"
"WEST COAST COOPERAGE/BARRELS","4333 S FOWLER AVE","36.6735","-119.682","321920","Wood Container and Pallet Manufacturing","Carbon Monoxide","Miscellaneous","10.4031","2008"
"ASR ENGINEERING INC","5004 E JENSEN AVE","36.7090","-119.727","488119","Other Airport Operations","Volatile Organic Compounds","Miscellaneous","7.97148972","2008"
"J G BOSWELL COMPANY","27905 DAIRY AVENUE","36.0673","-119.571","311421","Fruit and Vegetable Canning","Carbon Monoxide","Miscellaneous","10.30044","2008"
"VIE-DEL WINERY #1","11903 S CHESTNUT AVE","36.5656","-119.737","312130","Wineries","Carbon Monoxide","Miscellaneous","6.859437","2008"
"FOSTER POULTRY FARMS-KOPRO","12997 W HWY 140","37.3874","-120.718","325314","Fertilizer (Mixing Only) Manufacturing","Nitrogen Oxides","Miscellaneous","6.23241","2008"
"FOSTER POULTRY FARMS-KOPRO","12997 W HWY 140","37.3874","-120.718","325314","Fertilizer (Mixing Only) Manufacturing","PM10","Miscellaneous","7.081243","2008"
"FOSTER POULTRY FARMS-KOPRO","12997 W HWY 140","37.3874","-120.718","325314","Fertilizer (Mixing Only) Manufacturing","Sulfur Dioxide","Miscellaneous","22.7038","2008"
"FOSTER POULTRY FARMS-KOPRO","12997 W HWY 140","37.3874","-120.718","325314","Fertilizer (Mixing Only) Manufacturing","Carbon Monoxide","Miscellaneous","86.1726","2008"
"PHOENIX BIO INDUSTRIES LLC","31120 WEST ST","36.3461","-119.342","325193","Ethyl Alcohol Manufacturing","Carbon Monoxide","Ethanol Biorefineries","9.35601","2008"
"G-3 ENTERPRISES, LABEL DIVISION","2612 CROWS LANDING RD","37.5956","-120.993","541430","Graphic Design Services","Volatile Organic Compounds","Miscellaneous","10.4367785","2008"
"KAWNEER COMPANY INC","7200 DOE AVE","36.3474","-119.376","332321","Metal Window and Door Manufacturing","Volatile Organic Compounds","Miscellaneous","8.91038196","2008"
"JAXON ENTERPRISES","VARIOUS LOCATIONS","37.3007","-120.464","327332","Concrete Pipe Manufacturing","Carbon Monoxide","Miscellaneous","10.2419","2008"
"THE BAKERSFIELD CALIFORNIAN","3700 PEGASUS DR","35.4400","-119.072","511110","Newspaper Publishers","Volatile Organic Compounds","Miscellaneous","15.691912","2008"
"MCKITTRICK LIMITED","4905 REWARD RD.,  HEAVY O","35.3128","-119.667","221111","Hydroelectric Power Generation","Sulfur Dioxide","Miscellaneous","8.26147","2008"
"MCKITTRICK LIMITED","4905 REWARD RD.,  HEAVY O","35.3128","-119.667","221111","Hydroelectric Power Generation","Carbon Monoxide","Miscellaneous","8.35094","2008"
"MCKITTRICK LIMITED","4905 REWARD RD.,  HEAVY O","35.3128","-119.667","221111","Hydroelectric Power Generation","Nitrogen Oxides","Miscellaneous","15.1361","2008"
"WESTMINSTER CERAMICS L.L.C.","3901 E BRUNDAGE LANE","35.3594","-118.922","212325","Clay and Ceramic and Refractory Minerals Mining","PM2.5 Primary (Filt + Cond","Miscellaneous","9.4608016002","2008"
"WESTMINSTER CERAMICS L.L.C.","3901 E BRUNDAGE LANE","35.3594","-118.922","212325","Clay and Ceramic and Refractory Minerals Mining","PM10","Miscellaneous","10.3251861525","2008"
"BARBOSA CABINETS, INC.","2020 E GRANT LINE RD","37.7541","-121.394","337110","Wood Kitchen Cabinet and Countertop Manufacturing","Volatile Organic Compounds","Miscellaneous","6.6654088","2008"
"MODESTO THC INC","1306 BLUE GUM AVE","37.6622","-121.028","327320","Ready-Mix Concrete Manufacturing","PM2.5 Primary (Filt + Cond","Miscellaneous","5.8982218","2008"
"MODESTO THC INC","1306 BLUE GUM AVE","37.6622","-121.028","327320","Ready-Mix Concrete Manufacturing","PM10","Miscellaneous","8.7522","2008"
"WORLD OIL CORP.","1850 COFFEE RD","35.3749","-119.092","488119","Other Airport Operations","Volatile Organic Compounds","Miscellaneous","14.0091000447634","2008"
"VENOCO INC","9009 HOWARD RD","37.8650","-121.404","211112","Natural Gas Liquid Extraction","Carbon Monoxide","Miscellaneous","5.03661","2008"
"UNION PLANING MILL","735 S SUTTER STREET","37.9462","-121.284","321113","Sawmills","PM10","Miscellaneous","7.59962","2008"
"UNION PLANING MILL","735 S SUTTER STREET","37.9462","-121.284","321113","Sawmills","Volatile Organic Compounds","Miscellaneous","8.5298","2008"
"BONANZA CREEK ENERGY OPERATING COMPANY","HEAVY OIL WESTERN","35.0236","-119.304","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Miscellaneous","7.894823","2008"
"GALLO CATTLE COMPANY","10561 W HIGHWAY 140","37.3004","-120.679","311513","Cheese Manufacturing","Carbon Monoxide","Miscellaneous","10.07636187","2008"
"CHEVRON USA PRODUCTS COMPANY","22888 S. KASSON ROAD","37.7503","-121.346","424710","Petroleum Bulk Stations and Terminals","Volatile Organic Compounds","Miscellaneous","8.4863709","2008"
"LOCKHEED MARTIN AERONAUTICS COMPANY","1011 LOCKHEED WAY","34.6158","-118.112","336411","Aircraft Manufacturing","Carbon Monoxide","Miscellaneous","13.924693457","2008"
"LOCKHEED MARTIN AERONAUTICS COMPANY","1011 LOCKHEED WAY","34.6158","-118.112","336411","Aircraft Manufacturing","Volatile Organic Compounds","Miscellaneous","14.593622456947","2008"
"LOCKHEED MARTIN AERONAUTICS COMPANY","1011 LOCKHEED WAY","34.6158","-118.112","336411","Aircraft Manufacturing","Nitrogen Oxides","Miscellaneous","15.62582898","2008"
"HIGH DESERT POWER PROJECT","19000 PERIMETER ROAD","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","Sulfur Dioxide","Miscellaneous","9.90405595","2008"
"HIGH DESERT POWER PROJECT","19000 PERIMETER ROAD","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","Volatile Organic Compounds","Miscellaneous","22.113","2008"
"HIGH DESERT POWER PROJECT","19000 PERIMETER ROAD","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","Carbon Monoxide","Miscellaneous","47.329","2008"
"HIGH DESERT POWER PROJECT","19000 PERIMETER ROAD","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","PM2.5 Primary (Filt + Cond","Miscellaneous","122.612511118","2008"
"HIGH DESERT POWER PROJECT","19000 PERIMETER ROAD","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","PM10","Miscellaneous","123.073745","2008"
"HIGH DESERT POWER PROJECT","19000 PERIMETER ROAD","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","Ammonia","Miscellaneous","133.59851499835","2008"
"HIGH DESERT POWER PROJECT","19000 PERIMETER ROAD","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","Nitrogen Oxides","Miscellaneous","160.43","2008"
"ALLTECH ASSOCIATES, INC 2005","17434 MOJAVE STREET","34.4328","-117.327","325188","All Other Basic Inorganic Chemical Manufacturing","Volatile Organic Compounds","Miscellaneous","18.27901327","2008"
"BLYTHE ENERGY, LCC","15560 W. HOBSONWAY","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","PM2.5 Primary (Filt + Cond","Miscellaneous","13.5408","2008"
"BLYTHE ENERGY, LCC","15560 W. HOBSONWAY","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","PM10","Miscellaneous","13.5681","2008"
"BLYTHE ENERGY, LCC","15560 W. HOBSONWAY","33.0842","-115.681","221112","Fossil Fuel Electric Power Generation","Nitrogen Oxides","Miscellaneous","15.397","2008"
"L 3 COMMUNICATIONS, POWER MAGNETICS","711 W KNOX ST","33.8543","-118.289","611110","Elementary and Secondary Schools","PM2.5 Primary (Filt + Cond","Miscellaneous","55.432","2008"
"L 3 COMMUNICATIONS, POWER MAGNETICS","711 W KNOX ST","33.8543","-118.289","611110","Elementary and Secondary Schools","PM10","Miscellaneous","55.6","2008"
"L 3 COMMUNICATIONS, POWER MAGNETICS","711 W KNOX ST","33.8543","-118.289","611110","Elementary and Secondary Schools","Volatile Organic Compounds","Miscellaneous","60.58642","2008"
"L 3 COMMUNICATIONS, POWER MAGNETICS","711 W KNOX ST","33.8543","-118.289","611110","Elementary and Secondary Schools","Ammonia","Miscellaneous","134.4698","2008"
"L 3 COMMUNICATIONS, POWER MAGNETICS","711 W KNOX ST","33.8543","-118.289","611110","Elementary and Secondary Schools","Carbon Monoxide","Miscellaneous","261.46","2008"
"L 3 COMMUNICATIONS, POWER MAGNETICS","711 W KNOX ST","33.8543","-118.289","611110","Elementary and Secondary Schools","Nitrogen Oxides","Miscellaneous","971.16","2008"
"LA CITY, DWP SCATTERGOOD GENERATING STN","12700 VISTA DEL MAR","33.9175","-118.429","221112","Fossil Fuel Electric Power Generation","Ammonia","Miscellaneous","15.538135","2008"
"LA CITY, DWP SCATTERGOOD GENERATING STN","12700 VISTA DEL MAR","33.9175","-118.429","221112","Fossil Fuel Electric Power Generation","Nitrogen Oxides","Miscellaneous","37.263141404","2008"
"LA CITY, DWP SCATTERGOOD GENERATING STN","12700 VISTA DEL MAR","33.9175","-118.429","221112","Fossil Fuel Electric Power Generation","Volatile Organic Compounds","Miscellaneous","42.272695668","2008"
"LA CITY, DWP SCATTERGOOD GENERATING STN","12700 VISTA DEL MAR","33.9175","-118.429","221112","Fossil Fuel Electric Power Generation","Sulfur Dioxide","Miscellaneous","42.920185818","2008"
"LA CITY, DWP SCATTERGOOD GENERATING STN","12700 VISTA DEL MAR","33.9175","-118.429","221112","Fossil Fuel Electric Power Generation","PM2.5 Primary (Filt + Cond","Miscellaneous","44.43488107311","2008"
"LA CITY, DWP SCATTERGOOD GENERATING STN","12700 VISTA DEL MAR","33.9175","-118.429","221112","Fossil Fuel Electric Power Generation","PM10","Miscellaneous","48.0777025312","2008"
"LA CITY, DWP SCATTERGOOD GENERATING STN","12700 VISTA DEL MAR","33.9175","-118.429","221112","Fossil Fuel Electric Power Generation","Carbon Monoxide","Miscellaneous","467.29194616","2008"
"EASTERN MUNICIPAL WATER DIST","1301 CASE RD","33.7500","-117.191","221320","Sewage Treatment Facilities","Carbon Monoxide","Miscellaneous","6.4","2008"
"EASTERN MUNICIPAL WATER DIST","1301 CASE RD","33.7500","-117.191","221320","Sewage Treatment Facilities","Volatile Organic Compounds","Miscellaneous","10.089785882","2008"
"HYDRANAUTICS","401          JONES RD","33.3706","-115.642","333319","Other Commercial and Service Industry Machinery Manufacturing","Volatile Organic Compounds","Miscellaneous","10.3345799643","2008"
"SILICONIX, INCORPORATED/VISHAY","2201 LAURELWOOD ROAD","37.3801","-121.961","334413","Semiconductor and Related Device Manufacturing","Volatile Organic Compounds","Miscellaneous","51.466564","2008"
"COUGHRAN MECHANICAL SERVICES, INC.","VARIOUS LOCATIONS","38.2830","-121.919","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Miscellaneous","14.635","2008"
"COUGHRAN MECHANICAL SERVICES, INC","VARIOUS LOCATIONS","38.3700","-121.850","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Miscellaneous","9.8","2008"
"COUGHRAN MECHANICAL SERVICES, INC.","VARIOUS LOCATIONS","38.2830","-121.919","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Miscellaneous","29.19","2008"
"RANCHO SIMI PARK SWIMMING POOL","1765 ROYAL AVE.","34.2637","-118.764","711310","Promoters of Performing Arts, Sports, and Similar Events with Facilities","Nitrogen Oxides","Miscellaneous","6.05","2008"
"AERA ENERGY LLC","3382 NORTH VENTURA  AVE.","34.3176","-119.313","211111","Crude Petroleum and Natural Gas Extraction","Sulfur Dioxide","Oil or Gas Field (On-shore)","8.95172","2008"
"AERA ENERGY LLC","3382 NORTH VENTURA  AVE.","34.3176","-119.313","211111","Crude Petroleum and Natural Gas Extraction","Nitrogen Oxides","Oil or Gas Field (On-shore)","17.72833","2008"
"AERA ENERGY LLC","3382 NORTH VENTURA  AVE.","34.3176","-119.313","211111","Crude Petroleum and Natural Gas Extraction","Volatile Organic Compounds","Oil or Gas Field (On-shore)","150.1099969","2008"
"AERA ENERGY LLC","3382 NORTH VENTURA  AVE.","34.3176","-119.313","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Oil or Gas Field (On-shore)","242.87384","2008"
"BMW - VEHICLE PREPARATION CENTER","5650 ARCTURUS ROAD","34.1471","-119.171","425120","Wholesale Trade Agents and Brokers","Volatile Organic Compounds","Miscellaneous","6.393254852","2008"
"A L GILBERT COMPANY","304 N YOSEMITE AVE","37.7693","-120.849","311119","Other Animal Food Manufacturing","PM10","Miscellaneous","6.5400892","2008"
"ABA ENERGY CORP (CANFIELD 7-2)","ABA ENERGY CORP (CANFIELD 7-2)","39.5980","-122.392","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Miscellaneous","6.87852","2008"
"ABA ENERGY CORP (VJ 1)","ABA ENERGY CORP (VJ 1)","37.2719","-119.270","211111","Crude Petroleum and Natural Gas Extraction","Nitrogen Oxides","Miscellaneous","5.37631","2008"
"ABA ENERGY CORP (VJ 1)","ABA ENERGY CORP (VJ 1)","37.2719","-119.270","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Miscellaneous","8.98193","2008"
"ALAMEDA COUNTY HOUSEHOLD HAZAR","5584 LA RIBERA STREET","37.6958","-121.725","562211","Hazardous Waste Treatment and Disposal","Volatile Organic Compounds","Miscellaneous","7.611912","2008"
"ALEWYN DAIRY # 1 & #3","8185 EUCALYPTUS AVE","34.0570","-117.668","112120","Dairy Cattle and Milk Production","Volatile Organic Compounds","Miscellaneous","7.2665","2008"
"ALEWYN DAIRY #2, JACK AND ELANE ALEWYN","9031 EUCALYPTUS AVE","33.9900","-117.609","112120","Dairy Cattle and Milk Production","Ammonia","Miscellaneous","18.16684","2008"
"ALGONQUIN POWER SANGER LLC","1125 MUSCAT AVE","36.6849","-119.555","221111","Hydroelectric Power Generation","PM2.5 Primary (Filt + Cond","Miscellaneous","7.5376319724","2008"
"ALGONQUIN POWER SANGER LLC","1125 MUSCAT AVE","36.6849","-119.555","221111","Hydroelectric Power Generation","PM10","Miscellaneous","7.5582363","2008"
"ALGONQUIN POWER SANGER LLC","1125 MUSCAT AVE","36.6849","-119.555","221111","Hydroelectric Power Generation","Nitrogen Oxides","Miscellaneous","8.7214536","2008"
"ALGONQUIN POWER SANGER LLC","1125 MUSCAT AVE","36.6849","-119.555","221111","Hydroelectric Power Generation","Ammonia","Miscellaneous","10.0703","2008"
"ALGONQUIN POWER SANGER LLC","1125 MUSCAT AVE","36.6849","-119.555","221111","Hydroelectric Power Generation","Carbon Monoxide","Miscellaneous","10.2605652","2008"
"ALL WINERIES","ALL WINERIES","35.1511","-120.413","221320","Sewage Treatment Facilities","Volatile Organic Compounds","Miscellaneous","104.406","2008"
"VINTAGE PRODUCTION CALIFORNIA LLC, S. MOUTAIN & W. MOUNTAIN","19424 SOUTH MOUNTAIN ROAD","34.3416","-119.028","211111","Crude Petroleum and Natural Gas Extraction","Volatile Organic Compounds","Oil or Gas Field (On-shore)","47.34211085","2008"
"VINTAGE PRODUCTION CALIFORNIA LLC","SHIELLS CANYON GAS PLANT","34.3694","-118.869","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Oil or Gas Field (On-shore)","11.877336","2008"
"VINTAGE PRODUCTION CALIFORNIA LLC","SHIELLS CANYON GAS PLANT","34.3694","-118.869","211111","Crude Petroleum and Natural Gas Extraction","Volatile Organic Compounds","Oil or Gas Field (On-shore)","34.753513","2008"
"ANSCHUTZ PRINTING COMPANY","1201 EVANS AVENUE","37.7373","-122.381","323110","Commercial Lithographic Printing","Volatile Organic Compounds","Miscellaneous","8.442","2008"
"DOS PALOS COOPERATIVE GIN, INC","7870 W HUTCHINS ROAD","37.0832","-120.635","115111","Cotton Ginning","PM10","Miscellaneous","11.1048","2008"
"BATTH DEHYDRATOR LLC","4624 W NEBRASKA AVE","33.3706","-115.642","115114","Postharvest Crop Activities (except Cotton Ginning)","Carbon Monoxide","Miscellaneous","8.958","2008"
"BATTH DEHYDRATOR LLC","4624 W NEBRASKA AVE","33.3706","-115.642","115114","Postharvest Crop Activities (except Cotton Ginning)","Sulfur Dioxide","Miscellaneous","13.516802","2008"
"EAGLE VALLEY GINNING LLC","27480 S BENNETT RD","36.8896","-120.744","115111","Cotton Ginning","PM2.5 Primary (Filt + Cond","Miscellaneous","6.8328","2008"
"EAGLE VALLEY GINNING LLC","27480 S BENNETT RD","36.8896","-120.744","115111","Cotton Ginning","PM10","Miscellaneous","23.9148","2008"
"PHILIPS LUMILEDS LIGHTING, INC","370 W TRIMBLE ROAD","37.3824","-121.930","334514","Totalizing Fluid Meter and Counting Device Manufacturing","Volatile Organic Compounds","Miscellaneous","11.2237241","2008"
"PPG INDUSTRIES INC.","3333 S. PEACH ST.","36.6870","-119.718","327211","Flat Glass Manufacturing","Ammonia","Miscellaneous","49.72115","2008"
"SIERRA POWER CORPORATION","9000 ROAD 234","35.9555","-119.044","221111","Hydroelectric Power Generation","Volatile Organic Compounds","Miscellaneous","6.86477","2008"
"SIERRA POWER CORPORATION","9000 ROAD 234","35.9555","-119.044","221111","Hydroelectric Power Generation","PM2.5 Primary (Filt + Cond","Miscellaneous","10.805946","2008"
"SIERRA POWER CORPORATION","9000 ROAD 234","35.9555","-119.044","221111","Hydroelectric Power Generation","PM10","Miscellaneous","14.60345","2008"
"SIERRA POWER CORPORATION","9000 ROAD 234","35.9555","-119.044","221111","Hydroelectric Power Generation","Nitrogen Oxides","Miscellaneous","44.382434","2008"
"SIERRA POWER CORPORATION","9000 ROAD 234","35.9555","-119.044","221111","Hydroelectric Power Generation","Carbon Monoxide","Miscellaneous","81.22433","2008"
"TARGET STORE T-0323","20745 STEVENS CREEK BLVD","37.3227","-122.036","452112","Discount Department Stores","Nitrogen Oxides","Miscellaneous","8.199","2008"
"KAISER PERMANENTE","1600 EUREKA ROAD","38.7481","-121.248","622110","General Medical and Surgical Hospitals","Nitrogen Oxides","Miscellaneous","6.0305","2008"
"VINTAGE PRODUCTION (TORRES 12-2)","VINTAGE PRODUCTION (TORRES 12-2)","37.2719","-119.270","211111","Crude Petroleum and Natural Gas Extraction","Nitrogen Oxides","Miscellaneous","6.08064","2008"
"COUGHRAN MECHANICAL SERVICES, INC.","VARIOUS LOCATIONS","38.2830","-121.919","211111","Crude Petroleum and Natural Gas Extraction","Carbon Monoxide","Miscellaneous","5.38","2008"
"GRANITE CONSTRUCTION CO","4001 BRADSHAW ROAD","38.5454","-121.335","212321","Construction Sand and Gravel Mining","Nitrogen Oxides","Miscellaneous","5.2849268","2008"
"GRANITE CONSTRUCTION CO","4001 BRADSHAW ROAD","38.5454","-121.335","212321","Construction Sand and Gravel Mining","PM2.5 Primary (Filt + Cond","Miscellaneous","6.88301774","2008"
"GRANITE CONSTRUCTION CO","4001 BRADSHAW ROAD","38.5454","-121.335","212321","Construction Sand and Gravel Mining","PM10","Miscellaneous","9.38466134","2008"
"GRANITE CONSTRUCTION CO","4001 BRADSHAW ROAD","38.5454","-121.335","212321","Construction Sand and Gravel Mining","Volatile Organic Compounds","Miscellaneous","9.70284543","2008"
"GRANITE CONSTRUCTION CO","4001 BRADSHAW ROAD","38.5454","-121.335","212321","Construction Sand and Gravel Mining","Carbon Monoxide","Miscellaneous","26.7652806","2008"
"WALNUT ENERGY CENTER AUTHORITY","600 S WASHINGTON RD","37.4881","-120.903","221111","Hydroelectric Power Generation","Volatile Organic Compounds","Miscellaneous","10.2408077","2008"
"WALNUT ENERGY CENTER AUTHORITY","600 S WASHINGTON RD","37.4881","-120.903","221111","Hydroelectric Power Generation","Carbon Monoxide","Miscellaneous","13.47257834","2008"
"WALNUT ENERGY CENTER AUTHORITY","600 S WASHINGTON RD","37.4881","-120.903","221111","Hydroelectric Power Generation","Ammonia","Miscellaneous","30.1059","2008"
"WALNUT ENERGY CENTER AUTHORITY","600 S WASHINGTON RD","37.4881","-120.903","221111","Hydroelectric Power Generation","Nitrogen Oxides","Miscellaneous","33.1598688","2008"
"WALNUT ENERGY CENTER AUTHORITY","600 S WASHINGTON RD","37.4881","-120.903","221111","Hydroelectric Power Generation","PM2.5 Primary (Filt + Cond","Miscellaneous","39.386765155","2008"
